team,squad_size,squad_market_value_total,avg_player_age,star_player_market_value,key_player_caps,top_scorer_goals,top_scorer_name,injury_flag,squad_depth_score,experience_score,avg_market_value,youth_ratio,veteran_ratio,star_concentration,goals_per_cap,gk_count,df_count,mf_count,fw_count,total_caps,total_goals
Czech Republic,26,60.48,27.2,36.0,39.2,25,Patrik Schick,0,80,0.338,2.33,23.1,15.4,59.5,0.135,3,9,7,7,702,95
Bosnia and Herzegovina,26,58.7,25.9,45.5,20.3,73,Edin Džeko (captain),0,100,0.275,2.26,34.6,7.7,77.5,0.161,3,8,8,7,571,92
Haiti,26,55.45,27.1,37.0,22.7,44,Duckens Nazon,0,60,0.292,2.13,11.5,15.4,66.7,0.188,3,8,6,9,608,114
Cape Verde,26,50.85,29.2,33.0,22.7,22,Ryan Mendes (captain),0,20,0.38,1.96,7.7,30.8,64.9,0.09,3,8,12,3,790,71
Tunisia,26,49.65,26.2,18.0,22.6,6,Firas Chaouat,0,60,0.272,1.91,30.8,7.7,36.3,0.076,3,10,8,5,566,43
South Africa,26,43.3,26.3,14.5,18.8,10,Lyle Foster,0,40,0.223,1.67,30.8,11.5,33.5,0.131,3,10,5,8,464,61
Saudi Arabia,26,33.75,28.0,17.5,32.8,26,Salem Al-Dawsari (captain),0,60,0.412,1.3,7.7,19.2,51.9,0.105,3,10,6,7,858,90
New Zealand,26,29.55,27.6,10.0,25.8,45,Chris Wood (captain),0,40,0.395,1.14,23.1,23.1,33.8,0.133,3,9,10,4,822,109
Iran,26,25.6,29.8,9.5,30.5,60,Mehdi Taremi,0,80,0.552,0.98,7.7,42.3,37.1,0.129,3,9,8,6,1149,148
Curaçao,26,25.57,27.5,11.0,15.1,9,Gervane Kastaneer,0,80,0.287,0.98,15.4,23.1,43.0,0.116,3,8,7,8,596,69
Panama,26,23.75,30.0,11.5,46.9,17,José Fajardo,0,40,0.723,0.91,0.0,34.6,48.4,0.082,3,11,8,4,1504,123
Iraq,26,19.82,26.7,7.0,28.6,33,Aymen Hussein,0,80,0.383,0.76,23.1,11.5,35.3,0.11,3,9,7,7,797,88
Qatar,26,15.57,28.9,11.2,46.0,55,Almoez Ali,0,40,0.672,0.6,15.4,34.6,71.9,0.149,3,9,5,9,1397,208
South Korea,26,10.0,27.5,10.0,52.2,56,Son Heung-min (captain),0,20,0.45,0.38,15.4,15.4,100.0,0.152,3,9,11,3,937,142
Jordan,26,7.38,28.1,2.4,45.5,29,Ali Olwan,0,80,0.504,0.28,19.2,30.8,32.5,0.089,3,9,7,7,1048,93
