team,snapshot_date,elo_rating,matches_played_total,matches_played_competitive,wins_last_5,wins_last_10,draws_last_5,draws_last_10,losses_last_5,losses_last_10,goals_scored_avg_5,goals_scored_avg_10,goals_conceded_avg_5,goals_conceded_avg_10,clean_sheets_last_10,win_pct_last_5,win_pct_last_10,form_score,goal_diff_avg_10
Russia,2026-06-11,1766,747,348,1,5,2,3,2,2,0.8,1.7,1.0,0.8,3,20.0,50.0,0.86,0.9
Iran,2026-06-11,1764,611,331,2,4,2,3,1,3,1.8,1.7,0.6,0.8,5,40.0,40.0,2.0,0.9
South Korea,2026-06-11,1756,1006,354,3,6,0,1,2,3,1.6,1.8,1.0,1.2,6,60.0,60.0,1.71,0.6
Greece,2026-06-11,1752,631,327,1,4,2,2,2,4,0.8,1.8,1.2,1.4,3,20.0,40.0,0.86,0.4
Algeria,2026-06-11,1743,615,341,3,7,1,2,1,1,2.2,2.3,0.6,0.5,6,60.0,70.0,2.0,1.8
Serbia,2026-06-11,1742,347,193,2,5,0,0,3,5,0.8,1.1,2.0,1.7,2,40.0,50.0,1.29,-0.6
Czech Republic,2026-06-11,1733,359,223,3,4,2,4,0,2,2.6,1.8,1.0,1.3,4,60.0,40.0,2.14,0.5
Panama,2026-06-11,1733,537,222,1,4,2,4,2,2,1.2,1.5,2.0,1.4,2,20.0,40.0,1.14,0.1
United States,2026-06-11,1733,789,354,3,5,0,1,2,4,2.4,1.8,2.2,1.7,1,60.0,50.0,1.71,0.1
Venezuela,2026-06-11,1727,458,250,2,4,1,1,2,5,1.0,1.1,0.8,1.5,4,40.0,40.0,1.57,-0.4
Uzbekistan,2026-06-11,1718,352,186,2,4,3,5,0,1,1.4,1.5,0.6,0.7,6,40.0,40.0,1.86,0.8
Kosovo,2026-06-11,1714,103,71,2,5,1,2,2,3,1.6,1.5,1.4,1.3,4,40.0,50.0,1.0,0.2
Sweden,2026-06-11,1714,1099,368,2,4,1,2,2,4,1.6,1.6,1.8,1.8,1,40.0,40.0,1.86,-0.2
Poland,2026-06-11,1711,891,334,2,5,1,2,2,3,1.6,1.6,1.8,1.3,2,40.0,50.0,1.0,0.3
Chile,2026-06-11,1710,833,413,4,4,0,2,1,4,2.2,1.1,1.6,1.4,3,80.0,40.0,2.14,-0.3
Hungary,2026-06-11,1703,1004,349,2,4,2,3,1,3,1.2,1.4,1.0,1.3,4,40.0,40.0,1.71,0.1
Egypt,2026-06-11,1699,755,368,2,6,2,3,1,1,1.0,1.4,0.2,0.5,6,40.0,60.0,1.71,0.9
Wales,2026-06-11,1698,724,295,2,4,2,2,1,4,2.4,1.9,1.4,1.5,3,40.0,40.0,1.43,0.4
Peru,2026-06-11,1695,712,372,0,0,2,4,3,6,1.0,0.5,1.8,1.4,2,0.0,0.0,0.43,-0.9
Slovenia,2026-06-11,1694,315,203,1,3,2,4,2,3,0.8,0.9,1.2,1.2,3,20.0,30.0,1.14,-0.3
Jordan,2026-06-11,1685,484,236,1,5,2,2,2,3,1.6,1.9,2.2,1.6,3,20.0,50.0,0.86,0.3
Ivory Coast,2026-06-11,1676,635,334,4,7,0,1,1,2,2.6,2.0,1.0,0.7,6,80.0,70.0,2.57,1.3
Slovakia,2026-06-11,1674,365,200,3,5,0,0,2,5,1.6,1.2,2.0,1.7,5,60.0,50.0,1.71,-0.5
DR Congo,2026-06-11,1655,522,320,3,7,1,2,1,1,1.4,1.2,0.4,0.3,7,60.0,70.0,2.29,0.9
Georgia,2026-06-11,1653,305,180,1,3,1,2,3,5,1.2,1.3,2.4,1.8,3,20.0,30.0,1.14,-0.5
Albania,2026-06-11,1646,396,258,2,5,0,2,3,3,1.2,1.0,1.4,0.8,5,40.0,50.0,0.86,0.2
Bolivia,2026-06-11,1645,532,319,2,4,1,1,2,5,1.4,0.9,1.0,1.3,3,40.0,40.0,1.43,-0.4
Israel,2026-06-11,1634,497,263,1,4,2,2,2,4,1.2,2.0,2.2,2.1,3,20.0,40.0,1.29,-0.1
Tunisia,2026-06-11,1633,676,352,1,3,3,5,1,2,1.0,1.4,1.0,1.0,3,20.0,30.0,1.43,0.4
Romania,2026-06-11,1627,764,348,2,4,0,1,3,5,1.8,1.6,1.4,1.5,2,40.0,40.0,0.86,0.1
Cameroon,2026-06-11,1613,616,346,3,5,0,2,2,3,1.2,1.0,1.0,0.7,4,60.0,50.0,1.71,0.3
Costa Rica,2026-06-11,1611,722,350,1,1,2,7,2,2,1.2,1.2,1.8,1.5,3,20.0,10.0,0.86,-0.3
Iraq,2026-06-11,1608,653,352,3,6,0,2,2,2,1.0,1.1,0.8,0.7,4,60.0,60.0,2.14,0.4
Northern Ireland,2026-06-11,1601,1326,647,2,5,2,3,1,2,1.4,1.5,0.6,0.8,5,40.0,50.0,2.0,0.7
Mali,2026-06-11,1596,568,252,0,3,4,5,1,2,0.4,1.2,0.6,0.8,3,0.0,30.0,0.71,0.4
Bosnia and Herzegovina,2026-06-11,1591,282,177,1,3,4,5,0,2,1.2,2.0,0.8,1.1,2,20.0,30.0,1.29,0.9
North Macedonia,2026-06-11,1589,305,186,0,2,3,5,2,3,0.2,0.9,2.2,1.4,6,0.0,20.0,0.71,-0.5
New Zealand,2026-06-11,1585,414,152,1,2,1,1,3,7,1.2,0.9,1.6,1.5,1,20.0,20.0,1.0,-0.6
Honduras,2026-06-11,1571,619,301,1,3,3,5,1,2,1.0,1.0,0.8,0.7,5,20.0,30.0,1.14,0.3
Iceland,2026-06-11,1569,521,274,0,2,2,3,3,5,0.6,1.6,2.0,1.9,2,0.0,20.0,0.43,-0.3
Saudi Arabia,2026-06-11,1566,739,427,1,4,0,0,4,6,0.8,1.0,2.0,1.5,1,20.0,40.0,0.43,-0.5
Angola,2026-06-11,1543,413,268,1,2,2,4,2,4,1.0,1.1,1.4,1.3,2,20.0,20.0,1.0,-0.2
Finland,2026-06-11,1540,817,301,2,4,1,1,2,5,1.4,1.2,1.2,1.6,2,40.0,40.0,1.14,-0.4
United Arab Emirates,2026-06-11,1540,612,355,1,3,2,3,2,4,1.2,1.2,1.6,1.4,1,20.0,30.0,0.86,-0.2
Haiti,2026-06-11,1532,508,286,2,3,1,4,2,3,0.8,1.2,1.0,1.1,4,40.0,30.0,1.14,0.1
Burkina Faso,2026-06-11,1530,462,220,2,7,1,1,2,2,1.6,2.0,1.0,0.9,4,40.0,70.0,1.57,1.1
Jamaica,2026-06-11,1527,661,338,3,6,1,2,1,2,0.8,1.5,0.2,0.4,7,60.0,60.0,1.86,1.1
South Africa,2026-06-11,1518,478,270,1,4,2,3,2,3,1.2,1.4,1.4,1.0,3,20.0,40.0,0.86,0.4
Guatemala,2026-06-11,1514,552,222,2,3,1,3,2,4,1.4,1.3,2.4,1.9,1,40.0,30.0,1.43,-0.6
Belarus,2026-06-11,1513,313,173,2,3,2,2,1,5,1.2,1.2,1.0,2.3,2,40.0,30.0,2.0,-1.1
Ghana,2026-06-11,1503,670,319,0,4,0,1,5,5,0.4,1.4,2.4,1.3,4,0.0,40.0,0.0,0.1
Occitania,2026-06-11,1500,33,15,3,7,2,3,0,0,1.8,3.3,0.6,0.6,5,60.0,70.0,2.43,2.7
Jersey,2026-06-11,1500,235,0,3,8,1,1,1,1,2.8,2.7,1.8,1.0,5,60.0,80.0,1.57,1.7
Orkney,2026-06-11,1500,28,0,3,5,0,1,2,4,2.0,1.9,1.6,1.8,1,60.0,50.0,1.71,0.1
Kabylia,2026-06-11,1500,6,0,1,1,2,2,2,3,1.6,1.33,1.4,2.5,2,20.0,16.7,1.14,-1.17
Kernow,2026-06-11,1500,12,1,4,7,1,2,0,1,3.0,2.7,1.0,0.9,3,80.0,70.0,2.71,1.8
Kárpátalja,2026-06-11,1500,11,0,4,5,1,4,0,1,2.8,2.4,0.8,1.2,2,80.0,50.0,2.43,1.2
Luhansk PR,2026-06-11,1500,6,0,2,2,1,1,2,3,1.8,1.5,2.2,2.0,0,40.0,33.3,1.43,-0.5
Macau,2026-06-11,1500,148,92,0,0,0,1,5,9,0.4,0.3,3.0,2.8,1,0.0,0.0,0.0,-2.5
Madrid,2026-06-11,1500,1,0,0,0,0,0,1,1,1.0,1.0,2.0,2.0,0,0.0,0.0,0.0,-1.0
Micronesia,2026-06-11,1500,7,0,1,1,0,0,4,6,1.4,1.14,10.4,8.43,1,20.0,14.3,0.43,-7.29
Manchukuo,2026-06-11,1500,3,0,0,0,0,0,3,3,0.0,0.0,5.33,5.33,0,0.0,0.0,0.0,-5.33
Mapuche,2026-06-11,1500,2,0,1,1,0,0,1,1,1.5,1.5,1.0,1.0,0,50.0,50.0,1.5,0.5
Northern Mariana Islands,2026-06-11,1500,30,18,2,2,1,2,2,6,1.8,1.0,2.4,4.4,1,40.0,20.0,1.57,-3.4
Matabeleland,2026-06-11,1500,8,0,2,3,2,2,1,3,0.6,0.88,0.4,1.75,3,40.0,37.5,1.57,-0.88
Maule Sur,2026-06-11,1500,2,0,2,2,0,0,0,0,1.0,1.0,0.0,0.0,2,100.0,100.0,3.0,1.0
North Vietnam,2026-06-11,1500,24,0,2,4,1,3,2,3,1.8,2.5,1.6,1.5,2,40.0,40.0,1.43,1.0
Menorca,2026-06-11,1500,25,0,1,4,0,2,4,4,1.2,1.8,1.6,1.2,4,20.0,40.0,0.43,0.6
Padania,2026-06-11,1500,45,13,2,5,1,2,2,3,2.0,2.5,1.0,0.9,5,40.0,50.0,1.43,1.6
Abkhazia,2026-06-11,1500,33,0,2,5,3,4,0,1,1.2,1.8,0.6,0.7,5,40.0,50.0,1.57,1.1
Panjab,2026-06-11,1500,19,0,2,4,1,2,2,4,3.6,3.0,2.0,1.4,4,40.0,40.0,1.43,1.6
Vietnam Republic,2026-06-11,1500,195,24,0,2,0,2,5,6,0.2,1.0,2.4,2.0,1,0.0,20.0,0.0,-1.0
Sápmi,2026-06-11,1500,29,14,1,3,0,0,4,7,0.8,1.1,2.6,2.0,1,20.0,30.0,0.86,-0.9
São Tomé and Príncipe,2026-06-11,1500,71,56,1,1,0,2,4,7,0.8,0.6,2.8,2.1,2,20.0,10.0,0.86,-1.5
Tamil Eelam,2026-06-11,1500,28,5,5,8,0,0,0,2,3.4,2.7,0.6,1.3,4,100.0,80.0,3.0,1.4
Ticino,2026-06-11,1500,2,1,0,0,0,0,2,2,1.0,1.0,6.5,6.5,0,0.0,0.0,0.0,-5.5
Timor-Leste,2026-06-11,1500,86,69,1,1,0,0,4,9,0.6,0.6,2.6,3.5,1,20.0,10.0,0.43,-2.9
Two Sicilies,2026-06-11,1500,6,6,1,1,0,0,4,5,0.4,0.5,2.8,3.0,1,20.0,16.7,0.43,-2.5
United Koreans in Japan,2026-06-11,1500,12,0,1,2,3,6,1,2,1.4,1.9,0.8,0.8,4,20.0,20.0,1.0,1.1
United States Virgin Islands,2026-06-11,1500,78,63,2,2,1,4,2,4,2.2,1.5,1.6,2.0,2,40.0,20.0,1.43,-0.5
Vatican City,2026-06-11,1500,7,0,0,0,2,3,3,4,0.6,0.57,3.0,2.43,2,0.0,0.0,0.57,-1.86
Wallis Islands and Futuna,2026-06-11,1500,24,0,1,1,0,0,4,9,1.4,0.7,7.4,5.8,1,20.0,10.0,0.43,-5.1
Parishes of Jersey,2026-06-11,1500,3,0,2,2,0,0,1,1,3.67,3.67,1.33,1.33,0,66.7,66.7,1.8,2.33
West Papua,2026-06-11,1500,2,0,0,0,1,1,1,1,1.5,1.5,4.5,4.5,0,0.0,0.0,0.5,-3.0
Western Armenia,2026-06-11,1500,16,0,1,4,2,2,2,4,1.6,2.0,1.0,1.3,4,20.0,40.0,0.86,0.7
Western Australia,2026-06-11,1500,32,0,1,3,2,2,2,5,1.4,1.4,1.6,1.7,1,20.0,30.0,1.29,-0.3
Western Isles,2026-06-11,1500,34,0,2,3,1,1,2,6,1.4,1.1,1.2,1.9,1,40.0,30.0,1.14,-0.8
Yemen DPR,2026-06-11,1500,25,7,1,1,1,3,3,6,0.8,1.0,2.2,2.4,1,20.0,10.0,1.0,-1.4
Ynys Môn,2026-06-11,1500,67,0,4,9,0,0,1,1,2.2,2.1,1.4,1.0,4,80.0,90.0,2.57,1.1
Yorkshire,2026-06-11,1500,7,0,4,5,0,1,1,1,4.0,3.86,2.0,1.57,2,80.0,71.4,2.57,2.29
Yoruba Nation,2026-06-11,1500,2,0,0,0,1,1,1,1,0.5,0.5,1.0,1.0,0,0.0,0.0,0.5,-0.5
Yugoslavia,2026-06-11,1500,483,165,2,4,0,2,3,4,1.6,2.1,1.8,1.3,4,40.0,40.0,1.29,0.8
Székely Land,2026-06-11,1500,27,2,2,3,1,2,2,5,3.0,2.1,1.8,2.2,3,40.0,30.0,1.86,-0.1
Surrey,2026-06-11,1500,1,0,1,1,0,0,0,0,3.0,3.0,1.0,1.0,0,100.0,100.0,3.0,2.0
South Yemen,2026-06-11,1500,3,0,0,0,0,0,3,3,0.33,0.33,2.67,2.67,0,0.0,0.0,0.0,-2.33
South Ossetia,2026-06-11,1500,17,0,2,4,2,2,1,4,1.6,1.3,1.2,2.2,3,40.0,40.0,1.57,-0.9
Provence,2026-06-11,1500,23,15,2,4,0,0,3,6,6.2,5.5,2.4,2.0,2,40.0,40.0,0.86,3.5
Quebec,2026-06-11,1500,3,0,2,2,0,0,1,1,8.0,8.0,0.67,0.67,1,66.7,66.7,1.8,7.33
Raetia,2026-06-11,1500,26,5,2,2,2,4,1,4,3.4,2.5,2.2,3.2,0,40.0,20.0,2.0,-0.7
Republic of St. Pauli,2026-06-11,1500,4,0,1,1,1,1,2,2,2.5,2.5,1.25,1.25,1,25.0,25.0,0.67,1.25
Rhodes,2026-06-11,1500,18,0,3,7,0,0,2,3,1.8,1.7,0.8,0.9,5,60.0,70.0,1.71,0.8
Romani people,2026-06-11,1500,7,0,1,2,0,0,4,5,1.6,1.86,2.8,3.71,0,20.0,28.6,0.43,-1.86
Ryūkyū,2026-06-11,1500,1,0,0,0,0,0,1,1,0.0,0.0,9.0,9.0,0,0.0,0.0,0.0,-9.0
Réunion,2026-06-11,1500,124,0,1,5,3,3,1,2,0.8,1.6,0.8,0.6,4,20.0,50.0,1.29,1.0
Saare County,2026-06-11,1500,35,0,2,3,2,2,1,5,2.4,1.6,2.0,2.1,2,40.0,30.0,1.71,-0.5
Saarland,2026-06-11,1500,9,4,0,1,1,2,4,6,1.2,1.11,3.6,2.89,1,0.0,11.1,0.29,-1.78
Saint Barthélemy,2026-06-11,1500,10,0,2,4,1,1,2,5,3.0,2.5,2.4,3.0,0,40.0,40.0,1.43,-0.5
Saint Pierre and Miquelon,2026-06-11,1500,7,0,0,0,0,0,5,7,0.4,0.29,12.0,11.14,0,0.0,0.0,0.0,-10.86
Saint Vincent and the Grenadines,2026-06-11,1500,236,141,3,6,0,1,2,3,1.6,2.6,1.6,1.1,4,60.0,60.0,1.71,1.5
Sark,2026-06-11,1500,4,0,0,0,0,0,4,4,0.0,0.0,17.5,17.5,0,0.0,0.0,0.0,-17.5
Saugeais,2026-06-11,1500,1,0,0,0,1,1,0,0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,0.0
Sealand,2026-06-11,1500,12,0,3,4,2,4,0,2,3.2,2.4,1.6,2.5,0,60.0,40.0,2.43,-0.1
Seborga,2026-06-11,1500,1,0,0,0,0,0,1,1,2.0,2.0,3.0,3.0,0,0.0,0.0,0.0,-1.0
Shetland,2026-06-11,1500,58,0,2,3,2,2,1,5,2.6,1.8,1.4,2.0,1,40.0,30.0,1.29,-0.2
Silesia,2026-06-11,1500,8,0,2,3,2,2,1,3,3.6,3.0,2.0,2.12,0,40.0,37.5,1.71,0.88
Saint Helena,2026-06-11,1500,8,0,0,0,0,0,5,8,0.6,0.75,3.8,5.12,0,0.0,0.0,0.0,-4.38
Åland Islands,2026-06-11,1500,51,0,1,2,1,4,3,4,0.8,0.8,1.8,1.4,3,20.0,20.0,0.71,-0.6
Isle of Wight,2026-06-11,1500,48,0,3,7,0,1,2,2,1.6,1.9,1.2,0.9,5,60.0,70.0,1.71,1.0
Délvidék,2026-06-11,1500,2,0,1,1,0,0,1,1,2.0,2.0,1.5,1.5,0,50.0,50.0,1.5,0.5
Cilento,2026-06-11,1500,1,0,0,0,0,0,1,1,0.0,0.0,2.0,2.0,0,0.0,0.0,0.0,-2.0
Corsica,2026-06-11,1500,9,0,2,4,3,4,0,1,1.0,1.11,0.6,0.56,4,40.0,44.4,1.57,0.56
County of Nice,2026-06-11,1500,9,0,3,6,1,1,1,2,2.2,2.11,1.6,1.44,3,60.0,66.7,1.86,0.67
Crimea,2026-06-11,1500,5,0,3,3,0,0,2,2,1.4,1.4,2.2,2.2,1,60.0,60.0,1.71,-0.8
Czechoslovakia,2026-06-11,1500,520,165,3,4,2,5,0,1,2.6,2.1,0.8,0.9,4,60.0,40.0,2.14,1.2
Isle of Man,2026-06-11,1500,58,0,4,7,0,0,1,3,4.6,3.5,1.4,1.2,3,80.0,70.0,2.14,2.3
Donetsk PR,2026-06-11,1500,6,0,2,2,2,2,1,2,1.6,1.33,1.2,1.17,1,40.0,33.3,1.71,0.17
East Turkestan,2026-06-11,1500,5,1,2,2,0,0,3,3,3.0,3.0,3.2,3.2,0,40.0,40.0,1.29,-0.2
Gozo,2026-06-11,1500,14,6,1,4,2,2,2,4,0.8,2.6,1.2,1.4,3,20.0,40.0,0.86,1.2
Elba Island,2026-06-11,1500,1,0,1,1,0,0,0,0,5.0,5.0,0.0,0.0,1,100.0,100.0,3.0,5.0
Ellan Vannin,2026-06-11,1500,22,0,3,4,1,3,1,3,1.8,1.6,1.0,1.4,2,60.0,40.0,1.86,0.2
Felvidék,2026-06-11,1500,12,0,3,4,0,2,2,4,1.0,1.1,0.8,1.6,2,60.0,40.0,1.71,-0.5
Franconia,2026-06-11,1500,3,0,2,2,0,0,1,1,2.67,2.67,3.67,3.67,0,66.7,66.7,1.8,-1.0
Frøya,2026-06-11,1500,37,0,1,1,0,1,4,8,1.0,1.3,4.8,3.9,0,20.0,10.0,0.43,-2.6
Galicia,2026-06-11,1500,12,0,2,3,1,3,2,4,1.4,1.3,2.6,2.1,0,40.0,30.0,1.14,-0.8
German DR,2026-06-11,1500,298,99,4,7,1,1,0,2,2.2,1.9,1.0,1.3,4,80.0,70.0,2.43,0.6
Chechnya,2026-06-11,1500,3,0,0,0,1,1,2,2,1.0,1.0,9.67,9.67,0,0.0,0.0,0.4,-8.67
Chameria,2026-06-11,1500,7,2,2,3,2,2,1,2,1.8,2.0,0.8,1.14,3,40.0,42.9,1.57,0.86
Central Spain,2026-06-11,1500,2,0,1,1,0,0,1,1,1.0,1.0,2.0,2.0,1,50.0,50.0,1.5,-1.0
Catalonia,2026-06-11,1500,48,0,2,5,2,4,1,1,2.0,2.1,1.4,1.1,2,40.0,50.0,1.71,1.0
Alderney,2026-06-11,1500,135,0,1,2,0,0,4,8,1.2,0.9,3.8,3.2,1,20.0,20.0,0.43,-2.3
Ambazonia,2026-06-11,1500,6,4,0,0,0,1,5,5,0.2,0.5,3.0,2.83,0,0.0,0.0,0.0,-2.33
American Samoa,2026-06-11,1500,55,27,0,0,0,1,5,9,0.8,0.6,4.6,6.6,0,0.0,0.0,0.0,-6.0
Andalusia,2026-06-11,1500,13,0,4,8,1,2,0,0,2.2,2.3,0.6,0.9,4,80.0,80.0,2.71,1.4
Arameans Suryoye,2026-06-11,1500,10,5,3,5,1,2,1,3,1.8,1.6,1.2,1.2,5,60.0,50.0,1.86,0.4
Artsakh,2026-06-11,1500,11,0,3,6,1,1,1,3,1.8,3.1,1.6,1.3,3,60.0,60.0,2.29,1.8
Asturias,2026-06-11,1500,1,0,1,1,0,0,0,0,3.0,3.0,1.0,1.0,0,100.0,100.0,3.0,2.0
Aymara,2026-06-11,1500,2,0,0,0,0,0,2,2,0.5,0.5,2.0,2.0,0,0.0,0.0,0.0,-1.5
Barawa,2026-06-11,1500,12,0,1,3,0,0,4,7,0.4,1.4,5.0,3.8,2,20.0,30.0,0.43,-2.4
Basque Country,2026-06-11,1500,64,0,3,6,2,4,0,0,2.0,2.2,0.8,0.7,4,60.0,60.0,2.14,1.5
Biafra,2026-06-11,1500,3,0,2,2,0,0,1,1,0.67,0.67,0.33,0.33,2,66.7,66.7,2.4,0.33
Brittany,2026-06-11,1500,12,0,3,4,0,3,2,3,1.2,1.3,1.0,1.4,1,60.0,40.0,1.71,-0.1
Canary Islands,2026-06-11,1500,4,0,3,3,0,0,1,1,2.75,2.75,0.75,0.75,2,75.0,75.0,2.0,2.0
Cape Verde,2026-06-11,1500,234,129,1,4,3,5,1,1,1.4,1.7,1.2,1.0,5,20.0,40.0,1.43,0.7
Cascadia,2026-06-11,1500,7,0,3,4,1,1,1,2,4.0,3.29,1.8,2.0,2,60.0,57.1,2.0,1.29
Gotland,2026-06-11,1500,30,0,2,3,0,0,3,7,3.8,2.9,1.6,1.9,1,40.0,30.0,0.86,1.0
Darfur,2026-06-11,1500,7,3,0,0,0,0,5,7,0.2,0.14,13.2,14.14,0,0.0,0.0,0.0,-14.0
Găgăuzia,2026-06-11,1500,3,0,0,0,1,1,2,2,0.67,0.67,3.0,3.0,0,0.0,0.0,0.4,-2.33
Iraqi Kurdistan,2026-06-11,1500,27,17,2,3,3,6,0,1,1.8,2.3,0.6,0.9,4,40.0,30.0,1.57,1.4
Hitra,2026-06-11,1500,23,0,2,4,0,1,3,5,2.8,2.3,2.6,2.9,2,40.0,40.0,1.71,-0.6
Hmong,2026-06-11,1500,3,0,1,1,0,0,2,2,2.0,2.0,3.33,3.33,0,33.3,33.3,1.2,-1.33
Guernsey,2026-06-11,1500,240,0,3,6,0,0,2,4,1.4,2.3,0.8,1.0,4,60.0,60.0,1.71,1.3
Syria,2026-06-11,1491,483,248,2,5,2,3,1,2,0.8,2.0,0.4,0.8,5,40.0,50.0,1.29,1.2
Oman,2026-06-11,1490,542,307,1,2,2,4,2,4,0.6,0.7,1.0,1.1,4,20.0,20.0,1.29,-0.4
Guinea,2026-06-11,1469,538,273,1,3,3,5,1,2,1.4,1.2,1.2,0.8,4,20.0,30.0,1.0,0.4
Palestine,2026-06-11,1469,247,137,1,3,3,4,1,3,0.8,0.9,0.8,1.0,4,20.0,30.0,1.0,-0.1
Bulgaria,2026-06-11,1461,734,331,3,3,0,1,2,6,2.6,1.6,1.8,2.7,1,60.0,30.0,2.14,-1.1
Northern Cyprus,2026-06-11,1457,34,4,3,5,2,5,0,0,3.2,2.8,1.0,0.8,4,60.0,50.0,2.14,2.0
Montenegro,2026-06-11,1453,168,107,3,3,0,1,2,6,2.0,1.2,1.6,2.2,1,60.0,30.0,1.71,-1.0
Luxembourg,2026-06-11,1436,465,300,0,1,0,1,5,8,0.0,0.3,2.0,1.7,2,0.0,10.0,0.0,-1.4
Curaçao,2026-06-11,1433,384,195,1,3,1,3,3,4,1.8,1.6,2.2,1.6,4,20.0,30.0,0.57,0.0
Suriname,2026-06-11,1431,399,217,1,2,2,4,2,4,1.6,1.3,1.4,1.4,3,20.0,20.0,0.71,-0.1
Kazakhstan,2026-06-11,1430,267,168,2,3,2,2,1,5,1.0,1.0,0.6,1.5,3,40.0,30.0,2.0,-0.5
Benin,2026-06-11,1429,323,166,3,5,0,0,2,5,0.8,0.9,1.2,1.4,5,60.0,50.0,2.14,-0.5
Kurdistan,2026-06-11,1425,5,0,4,4,1,1,0,0,2.4,2.4,0.4,0.4,3,80.0,80.0,2.71,2.0
China,2026-06-11,1423,700,275,2,4,1,1,2,5,1.0,0.9,1.0,1.2,3,40.0,40.0,1.43,-0.3
Qatar,2026-06-11,1423,634,381,0,1,1,4,4,5,0.4,0.9,1.6,1.7,1,0.0,10.0,0.14,-0.8
